PMID;Title;Abstract;LCR;Function;Hard;Category
9030575;Isolation and characterization of the 5'-upstream region of the human N-type calcium channel alpha1B subunit gene. Chromosomal localization and promoter analysis.;omega-Conotoxin-sensitive N-type Ca2+ channels, unlike dihydropyridine-sensitive L-type channels, are exclusively expressed in nervous tissues. To understand the molecular basis for neuron-specific expression of the N-type channel, we have isolated genomic clones encoding the human alpha1B subunit gene, localized to the long arm of chromosome 9 (9q34) by fluorescence in situ hybridization, and characterized its 5'-upstream region. The proximal promoter of the alpha1B subunit gene lacks a typical TATA box, is highly GC-rich, and contains several sequences for transcription factor binding. Primer extension experiments revealed the presence of two transcription start sites. In vitro transfection study of the alpha1B subunit-luciferase fusion gene showed that the 4.0-kb 5'-flanking region of the alpha1B gene functions as an efficient promoter in neuronal cells but not in glioma or nonneuronal cells, consistent with the patterns of the endogenous alpha1B gene expression in these cells. Deletion analysis of alpha1B subunit-luciferase fusion gene constructs further revealed the presence of several cis-acting regulatory elements, including a potential repressor located in the distal upstream region (-3992 to -1788) that may be important for the neuron-specific expression of the N-type Ca2+ channel alpha1B subunit gene. ;cysteine;transcription factor;-;LCR_with_function
33366855;Characterization of the complete mitochondrial genome of Ypthima baldus (Lepidoptera: Satyrinae) with phylogenetic analysis.;The complete mitochondrial genome of Ypthima baldus was determined and analysed for the first time. It is a circular molecule of 15,304 bp in length and contains 13 protein-coding genes (PCGs), 2 rRNA genes (12S and 16S), 22 tRNA genes (tRNAs), and 1 AT-rich region. The total base composition is 38.6% of A, 7.5% of G, 42.2% of T, and 11.7% of C, respectively. In addition, phylogenetic analysis was carried out with 13 PCGs using the Bayesian Inference (BI) method. The complete mitogenome of Y. baldus will play an important role in population genetics and phylogenetic studies of the species in the future.;threonine;-;-;LCR_without_function
8196634;A human Alu RNA-binding protein whose expression is associated with accumulation of small cytoplasmic Alu RNA.;Human Alu sequences are short interspersed DNA elements which have been greatly amplified by retrotransposition. Although initially derived from the 7SL RNA component of signal recognition particle (SRP), the Alu sequence has evolved into a dominant transposon while retaining a specific secondary structure found in 7SL RNA. We previously characterized a set of Alu sequences which are expressed as small cytoplasmic RNAs and isolated a protein that binds to these transcripts. Here we report that biochemical purification of this protein revealed it as the human homolog of the SRP 14 polypeptide which binds the Alu-homologous region of 7SL RNA. The human cDNA predicts an alanine-rich C-terminal tail translated from a trinucleotide repeat not found in the rodent homolog, which accounts for why the human protein-RNA complex migrates more slowly than its rodent counterpart in RNA mobility shift assays. The human Alu RNA-binding protein (RBP) is expressed after transfection of this cDNA into mouse cells. Expression of human RBP in rodent x human somatic cell hybrids is associated with substantial increase in endogenous small cytoplasmic Alu and scB1 transcripts but not other small RNAs. These studies provide evidence that this RBP associates with Alu transcripts in vivo and affects their metabolism and suggests a role for Alu transcripts in translation in an SRP-like manner. Analysis of hybrid lines indicated that the Alu RBP gene maps to human chromosome 15q22, which was confirmed by Southern blotting. The possibility that the primate-specific structure of this protein may have contributed to Alu evolution is considered. ;alanine;nucleic acid binding;-;LCR_with_function
4043342;Effect of aging on human aortic protein composition. I. One-dimensional polyacrylamide gel electrophoretic analysis of tissue extracts.;"Proteins extracted from matching areas of homogenized intimas of 17 human aortas, from two age groups (15-34 and 35-82), were studied after separation by polyacrylamide gel electrophoresis, silver staining, and densitometric scanning. Several definite protein bands including 6 major and 16 minor bands were identified in 17 aortic intima samples grossly and microscopically lesion free. However, such electrophoretic patterns were found to differ in the two age groups studied. For instance, (1) the integrated densities (amounts) of protein bands 1, 6, 13, 16, and 19 which we interpreted as of mural vascular origin were significantly higher in the younger age group, whereas the amounts of bands 2, 7, 9, 11, and 21 suspected to be of plasma origin were found to be significantly higher in the older age group; (2) protein band No. 8 was found to be double in the younger age group vs a single line in the older age group, whereas band No. 12 was the opposite. These changes in protein composition appear to correlate closely with diffuse intimal thickening found histologically in older age group, and will be further studied to relate to those in atherosclerotic lesions.";-;-;polyacrylamide;hard_1
30714905;Retinal direction selectivity in the absence of asymmetric starburst amacrine cell responses.;In the mammalian retina, direction-selectivity is thought to originate in the dendrites of GABAergic/cholinergic starburst amacrine cells, where it is first observed. However, here we demonstrate that direction selectivity in downstream ganglion cells remains remarkably unaffected when starburst dendrites are rendered non-directional, using a novel strategy combining a conditional GABAA α2 receptor knockout mouse with optogenetics. We show that temporal asymmetries between excitation/inhibition, arising from the differential connectivity patterns of starburst cholinergic and GABAergic synapses to ganglion cells, form the basis for a parallel mechanism generating direction selectivity. We further demonstrate that these distinct mechanisms work in a coordinated way to refine direction selectivity as the stimulus crosses the ganglion cell's receptive field. Thus, precise spatiotemporal patterns of inhibition and excitation that determine directional responses in ganglion cells are shaped by two 'core' mechanisms, both arising from distinct specializations of the starburst network.;-;-;-;hard_0
9528717;Randomized trial of itraconazole oral solution for oropharyngeal candidiasis in HIV/AIDS patients.;"PURPOSE
Oropharyngeal candidasis (thrush) is the most common opportunistic infection in individuals who are positive for the human immunodeficiency virus (HIV) and those who have progressed to AIDS. Itraconazole has a broad in vitro spectrum of activity, including a wide variety of Candida species. Our study determined the relative efficacy of a new oral solution formulation of itraconazole and fluconazole tablets in the treatment of oropharyngeal candidiasis.


PATIENTS AND METHODS
This was a prospective randomized, third-party-blind, multicenter trial conducted at 12 centers in the United States. One hundred seventy-nine HIV-positive patients with mycologically documented oropharyngeal candidiasis were treated with itraconazole oral solution 200 mg/ day for 7 or 14 days, or fluconazole tablets 100 mg/day for 14 days. Severity of disease was scored clinically before treatment and at clinical evaluations on days 3, 7, 14, 21, 35, and 42. Semi-quantitative cultures of mouth washings were also obtained on these days.


RESULTS
Both 14-day and 7-day regimens of itraconazole oral solution were equivalent to fluconazole for most efficacy parameters. The clinical response rate was 97% after 14 days of itraconazole and 87% after 14 days of fluconazole. Itraconazole oral solution given for 7 days was also equivalent to fluconazole treatment for 14 days. Approximately one half of patients in all three groups relapsed by 1 month after completion of treatment. There were few adverse reactions to either drug.


CONCLUSION
Itraconazole oral solution is well tolerated and offers an alternative at least as effective as fluconazole in the treatment of oropharyngeal candidiasis.";-;-;-;hard_0
34750787;An Update on the Critical Role of α-Synuclein in Parkinson's Disease and Other Synucleinopathies: from Tissue to Cellular and Molecular Levels.;The aggregation of alpha-synuclein (α-Syn) plays a critical role in the development of Parkinson's disease (PD) and other synucleinopathies. α-Syn, which is encoded by the SNCA gene, is a lysine-rich soluble amphipathic protein normally expressed in neurons. Located in the cytosolic domain, this protein has the ability to remodel itself in plasma membranes, where it assumes an alpha-helix conformation. However, the protein can also adopt another conformation rich in cross-beta sheets, undergoing mutations and post-translational modifications, then leading the protein to an unusual aggregation in the form of Lewy bodies (LB), which are cytoplasmic inclusions constituted predominantly by α-Syn. Pathogenic mechanisms affecting the structural and functional stability of α-Syn - such as endoplasmic reticulum stress, Golgi complex fragmentation, disfunctional protein degradation systems, aberrant interactions with mitochondrial membranes and nuclear DNA, altered cytoskeleton dynamics, disrupted neuronal plasmatic membrane, dysfunctional vesicular transport, and formation of extracellular toxic aggregates - contribute all to the pathogenic progression of PD and synucleinopathies. In this review, we describe the collective knowledge on this topic and provide an update on the critical role of α-Syn aggregates, both at the cellular and molecular levels, in the deregulation of organelles affecting the cellular homeostasis and leading to neuronal cell death in PD and other synucleinopathies.;lysine;helix;-;LCR_with_function
2450626;Two classes of dentin phosphophoryns, from a wide range of species, contain immunologically cross-reactive epitope regions.;An immunological species comparison, using a monospecific rabbit polyclonal antibody directed against rat incisor alpha-phosphophoryn, has been undertaken to assess the similarity in epitope regions among various dentin phosphophoryns (PP) that were prepared from human, monkey, bovine, ovine, and echinoderm teeth. Dentin extracellular matrix proteins were extracted with a standard method using 0.5 M EDTA in the presence of enzyme inhibitors. Final phosphophoryn purification was performed on DEAE ion exchange HPLC. Cross-reactivity of the polyclonal antibody was examined by enzyme-linked immunosorbant assay (ELISA) and dot-blot. The results of this investigation demonstrate a cross-reactivity of the rat-alpha-phosphophoryn antibody (anti-RIPP) with at least one phosphophoryn component in each dentin studied, indicating the existence of similar antigenic determinants among these proteins. It would seem that these epitope regions have been strongly conserved since the epitope region is also present in the phosphoprotein of echinoderm teeth. No cross-reactivity was found with phosvitin (a phosphoserine-rich phosphoprotein), rat serum albumin, bovine serum albumin, or collagen type IV. However, a new and distinct second cross-reactive phosphophoryn, not calcium ion-precipitable, was found in the EDTA insoluble fraction from the teeth. These results indicate that dentin phosphophoryns are specific phenotypic markers for odontoblast expression. Because of the species cross-reactivity, the polyclonal anti-RIPP antibody may be a useful probe in studying the distribution of phosphophoryns in other species, such as human teeth.;serine;antigen;-;LCR_with_function
32329130;Chromosome dynamics and spindle microtubule establishment in mouse embryos.;Chromosome segregation errors in mammalian embryos are common and jeopardize embryo health. Here, we perform for the first time 4-Dimensional imaging and tracking of chromosomes and centromeres through each preimplantation mitotic cell division in mouse embryos to define the normal dynamics of chromosome segregation. We show that a microtubule (MT)-dependent inward movement of chromosomes occurs at the time of nuclear envelope breakdown (NEBD), particularly in the earliest cell divisions, to position chromosomes prior to spindle assembly. Establishment of a rudimentary metaphase plate occurs immediately after NEBD, and is followed by a progressive alignment and biorientation of mitotic chromosomes. Stable end-on kinetochore-MT attachments form rapidly and attachment errors are uncommon. Altogether our data describe a rapid and efficient spindle assembly pathway that apparently minimizes the need for canonical MT attachment error correction in normally dividing embryos.;-;-;-;hard_0
7478606;The evolution of WT1 sequence and expression pattern in the vertebrates.;WT1 is a Wilms' tumour predisposition gene, encoding a protein with four C-terminal Kruppel-type zinc fingers, which is also a major regulator of kidney and gonadal development. To pinpoint key regulatory domains involved in development and evolution of the vertebrate genitourinary system, we have isolated WT1 orthologues from all gnathostome classes. Partial nucleotide sequence from chick, alligator, Xenopus laevis and zebrafish reveals extensive conservation. Both the zinc fingers and the transregulatory domain exhibit a high level of similarity in all the species examined. However, of the two alternatively spliced regions only one, the three amino acid KTS insertion between zinc fingers 3 and 4, is found in species other than mammals. The 17 amino acid insertion at the C-terminal end of the transregulatory domain is present only in mammals. Residues with reported human pathological mutations are also unaltered across species, underlining their structural significance. Studies in chick and alligator reveal that the mammalian intermediate mesoderm expression pattern is conserved in birds and reptiles. A wider role in mesodermal differentiation is suggested by expression in some paraxial and lateral mesoderm derivatives.;-;zinc finger;-;hard_2
6095814;Ca2+-dependent hydrophobic-interaction chromatography. Isolation of a novel Ca2+-binding protein and protein kinase C from bovine brain.;Several bovine brain proteins have been found to interact with a hydrophobic chromatography resin (phenyl-Sepharose CL-4B) in a Ca2+-dependent manner. These include calmodulin, the Ca2+/phospholipid-dependent protein kinase (protein kinase C) and a novel Ca2+-binding protein that has now been purified to electrophoretic homogeneity. This latter protein is acidic (pI 5.1) and, like calmodulin and some other high-affinity Ca2+-binding proteins, exhibits a Ca2+-dependent mobility shift on sodium dodecyl sulphate/polyacrylamide-gel electrophoresis, with an apparent Mr of 22 000 in the absence of Ca2+ and Mr 21 000 in the presence of Ca2+. This novel calciprotein is distinct from known Ca2+-binding proteins on the basis of Mr under denaturing conditions, Cleveland peptide mapping and amino acid composition analysis. It may be a member of the calmodulin superfamily of Ca2+-binding proteins. This calciprotein does not activate two calmodulin-dependent enzymes, namely cyclic nucleotide phosphodiesterase and myosin light-chain kinase, nor does it have any effect on protein kinase C. It may be a Ca2+-dependent regulatory protein of an as-yet-undefined enzymic activity. The Ca2+/phospholipid-dependent protein kinase is also readily purified by Ca2+-dependent hydrophobic-interaction chromatography followed by ion-exchange chromatography, during which it is easily separated from calmodulin. A preparation of protein kinase C that lacks contaminating kinase or phosphatase activities is thereby obtained rapidly and simply. Such a preparation is ideal for the study of phosphorylation reactions catalysed in vitro by protein kinase C.;-;-;polyacrylamide;hard_1
8862075;The mode of lymphatic spread in carcinoma of the bile duct.;"BACKGROUND
Knowing the prevalence of lymph node involvement associated with the location of the primary tumor is a prerequisite for operating with curative intent in carcinoma of the bile duct.


METHODS
We evaluated 80 patients with carcinoma of the bile duct or cystic duct to investigate the frequency of lymph node involvement, the mode of lymphatic spread, and prognosis, according to the location of the primary tumor.


RESULTS
The frequency of lymphatic spread of carcinomas in the proximal, middle, and distal bile ducts, excluding seven T1 tumors, was 48%, 67%, and 56%, respectively. With regard to the mode of lymphatic spread: (1) a metastatic pathway along the common hepatic artery predominated over that to the retropancreatic area in the proximal duct carcinoma group; (2) in the middle duct carcinoma group, metastatic lymph nodes were distributed widely, involving nodes around the superior mesenteric artery or at the para-aortic area; and (3) in the distal duct carcinoma group, metastatic nodes generally were localized around the head of the pancreas.


CONCLUSIONS
Understanding the mode of the lymphatic spread according to the primary tumor may be helpful for choosing the appropriate surgical approach with curative intent in bile duct carcinoma.";-;-;-;hard_0
27147467;Cold-inducible proteins CIRP and RBM3, a unique couple with activities far beyond the cold.;Cold-inducible RNA-binding protein (CIRP) and RNA-binding motif protein 3 (RBM3) are two evolutionarily conserved RNA-binding proteins that are transcriptionally upregulated in response to low temperature. Featuring an RNA-recognition motif (RRM) and an arginine-glycine-rich (RGG) domain, these proteins display many similarities and specific disparities in the regulation of numerous molecular and cellular events. The resistance to serum withdrawal, endoplasmic reticulum stress, or other harsh conditions conferred by RBM3 has led to its reputation as a survival gene. Once CIRP protein is released from cells, it appears to bolster inflammation, contributing to poor prognosis in septic patients. A variety of human tumor specimens have been analyzed for CIRP and RBM3 expression. Surprisingly, RBM3 expression was primarily found to be positively associated with the survival of chemotherapy-treated patients, while CIRP expression was inversely linked to patient survival. In this comprehensive review, we summarize the evolutionary conservation of CIRP and RBM3 across species as well as their molecular interactions, cellular functions, and roles in diverse physiological and pathological processes, including circadian rhythm, inflammation, neural plasticity, stem cell properties, and cancer development. ;-;nucleic acid binding;-;hard_2
17880108;Protein dynamics and monomer-monomer interactions in AntR activation by electron paramagnetic resonance and double electron-electron resonance.;The Anthracis repressor (AntR) is a Mn(II)-activated DNA binding protein that is involved in the regulation of Mn(II) homeostasis in Bacillus anthracis. AntR is structurally and functionally homologous to Mn(II)-activated repressor from Bacillus subtillis (MntR). Our studies on AntR focus on metal-regulated activation of the protein. Line shape analysis of continuous wave electron paramagnetic resonance (EPR) spectra showed that metal binding resulted in a general reduction of backbone dynamics and that there were no further changes in backbone motion upon DNA binding. Double electron-electron resonance (DEER) pulsed EPR spectroscopy was used to measure distances between nitroxide spin labels strategically placed in dimeric AntR. The DEER data were analyzed assuming Gaussian distributions for discrete populations of spins. A structural model for AntR was built from homology to MntR, and the experimentally measured distances were simulated to distinguish between spin label and backbone motions. Together with the computational analysis, the DEER results for apo-AntR indicated relatively narrow conformational distributions for backbone residues at the dimer interface and near the metal binding site. No significant changes were observed on these sites in the presence of metal or DNA. On the other hand, the distribution of the conformers and the distances between the putative DNA binding helices decreased upon metal binding. These results suggest that the DNA binding region of AntR shows large amplitude backbone motions in the absence of metal, which may preclude sequence-specific binding to promoter sites. Metal binding narrows the range of conformations accessible in this region and shortens the mean distance between the DNA binding helices, probably resulting in alignment that optimizes promoter recognition and binding.;-;nucleic acid binding;-;hard_2
2716504;A quantitative study of relaxation rate enhancement produced by iron oxide particles in polyacrylamide gels and tissue.;The proton relaxation rate enhancements produced by two types of iron oxide particles, M4125 and AM125 (Advanced Magnetics, Cambridge, MA) designed as potential MR contrast agents, have been measured in polyacrylamide gels and in liver and spleen. The organ uptakes, time courses, and biodistributions of these materials have been measured using radiolabeling. The relaxation rate enhancements produced by these particles have been related to the concentration of iron per gram material at different magnetic field strengths. The relaxation rates increase linearly as a function of concentration at field strengths varying from 0.15 to 7 T. The relaxation effects of these particles in tissue are significantly different from the behavior in vitro. These results suggest that several different mechanisms contribute to relaxation effects in the presence of iron oxide particles and they depend strongly on the way the particles are sequestered. Diffusion effects for a specified TE may be enhanced using gradient or single-spin echoes rather than multiple echoes. AM125 is significantly more effective as a relaxation agent than paramagnetic metal ions only at relatively high fields, while M4125 is less effective per unit concentration.;-;-;polyacrylamide;hard_1
2888730;Recognition of the galactose- or N-acetylgalactosamine-binding lectin of Entamoeba histolytica by human immune sera.;Cure of amebic liver abscess is associated with resistance to recurrent invasive amebiasis and the development of a humoral and cell-mediated immune response. We determined whether human immune sera contain blocking antibody for the 170-kilodalton (kDa) galactose or N-acetylgalactosamine (Gal/GalNAc)-binding lectin of Entamoeba histolytica. By Western blot (immunoblot) of whole amebae subjected to sodium dodecyl sulfate-polyacrylamide gel electrophoresis, all eight immune sera studied here prominently recognized a 170-kDa amebic protein. Western blot of the purified Gal/GalNAc lectin with pooled human immune sera (PHIS) confirmed that the 170-kDa band was the adherence lectin. Immunoprecipitation of [35S]methionine-metabolically-labeled amebae with the antilectin monoclonal antibody H8-5 and with PHIS demonstrated that the 170-kDa lectin was the major antigen recognized by PHIS. The in vitro adherence of E. histolytica trophozoites to CHO cells at 4 degrees C was inhibited by prior exposure of amebae to greater than or equal to 1.0% PHIS. The humoral response to the Gal/GalNAc-binding lectin of the parasite may contribute to the development of protective immunity against invasive amebiasis.;-;antigen;polyacrylamide;hard_3
6119119;[Two forms of glutamine synthetase from pumpkin leaves].;Two molecular forms of glutamine synthetase localized in the cytoplasm and in chloroplasts, respectively, were detected in pumpkin leaves. Ammonium infiltrated into intact pumpkin leaves activated the synthesis of both enzyme forms. Glutamine synthetase from chloroplasts and the cytoplasmic enzyme were purified to homogeneity by ammonium sulfate fractionation, ion-exchange chromatography on DEAE-cellulose DE-32, selective adsorption on potassium phosphate gel and preparative electrophoresis in polyacrylamide gel. The molecular weights of both forms of glutamine synthetase as determined by gel-filtration through Sephacryl S-200 are equal to 370,000 and 480,000, respectively. During SDS polyacrylamide gel electrophoresis the enzymes from both sources produced polypeptide chains with respective molecular weights of 50,000 and 58,000. The amino acid composition of the enzymes differed considerably. The content of alpha-helix moities in the chloroplast and cytoplasmic enzyme made up to 17% and 34%, respectively. In the presence of Mg+ the pH optima for the enzymes were equal to 7.75 and 7.25, respectively, and the Km values for L-glutamate were 46 and 13 mM, respectively. It may be concluded that the enzyme forms under study are isoenzymes.;-;helix;polyacrylamide;hard_3
3258423;Induction of a systemic lupus erythematosus-like disease in mice by a common human anti-DNA idiotype.;Systemic lupus erythematosus (SLE) is considered to be the quintessential autoimmune disease. It has not been possible to induce SLE in animal models by DNA immunization or by challenge with anti-DNA antibodies. We herewith report a murine model of SLE-like disease induced by immunization of C3H.SW female mice with a common human monoclonal anti-DNA idiotype (16/6 idiotype). Following a booster injection with the 16/6 idiotype, high levels of murine anti-16/6 and anti-anti-16/6 antibodies (associated with anti-DNA activity) were detected in the sera of the immunized mice. Elevated titers of autoantibodies reacting with DNA, poly(I), poly(dT), ribonucleoprotein, autoantigens [Sm, SS-A (Ro), and SS-B (La)], and cardiolipin were noted. The serological findings were associated with increased erythrocyte sedimentation rate, leukopenia, proteinuria, immune complex deposition in the glomerular mesangium, and sclerosis of the glomeruli. The immune complexes in the kidneys were shown to contain the 16/6 idiotype. This experimental SLE-like model may be used to elucidate the mechanisms underlying SLE.;isoleucine;antigen;-;LCR_with_function
2744486;A nuclear tRNA(UGASer) gene from the wheat Triticum vulgare var. Aria.;The nucleotide sequence of a wheat nuclear tRNA(UGASer) gene from Triticum vulgare var. Aria has been determined. It has a typical intragenic promoter with boxA and boxB elements and a putative termination signal 12 nucleotides downstream from the last tRNA-coding nucleotide. The region upstream from the coding segment contains a G + C-rich sequence with a symmetrical element. The sequence described is the first nuclear tRNA gene from a monocotyledonous plant.;cysteine;-;-;LCR_without_function
8849881;The yeast HRS1 gene encodes a polyglutamine-rich nuclear protein required for spontaneous and hpr1-induced deletions between direct repeats.;The hrs1-1 mutation was isolated as an extragenic suppressor of the hyperrecombination phenotype of hpr1 delta cells. We have cloned, sequenced and deleted from the genome the HRS1 gene. The DNA sequence of the HRS1 gene reveals that it is identical to PGD1, a gene with no reported function, and that the Hrs1p protein contains polyglutamine stretches typically found in transcription factors. We have purified a His(6) tagged version of Hrs1p protein from E. coli and have obtained specific anti-Hrs1p polyclonal antibodies. We show that Hrs1p is a 49-kD nuclear protein, as determined by indirect immunofluorescence microscopy and Western blot analysis. The hrs1 delta null mutation reduces the frequency of deletions in wild-type and hpr1 delta backgrounds sevenfold below wild-type and rad52 levels. Furthermore, hrs1 delta cells show reduced induction of the GAL1,10 promoter relative to wild-type cells. Our results suggest that Hrs1p is required for the formation of deletions between direct repeats and that it may function in gene expression. This suggests a connection between gene expression and direct repeat recombination. In this context, we discuss the possible roles of Hrs1p and Hpr1p in initiation of direct-repeat recombination. ;glutamine;transcription factor;-;LCR_with_function
1736963;Polyacrylamide gel electrophoresis analysis of ribosomal protein AT-L30 from an actinomycete genus, Streptosporangium.;We analyzed the ribosomal AT-L30 proteins from 11 type strains of species belonging to the genus Streptosporangium. The electrophoretic mobilities of the AT-L30 preparations from these strains, as determined by two-dimensional polyacrylamide gel electrophoresis, revealed that they could be divided into three groups. The first group contained Streptosporangium viridogriseum, S. viridogriseum subsp. kofuense, and S. albidum, while the second group contained S. roseum, S. album, S. vulgare, S. nondiastaticum, S. fragile, S. violaceochromogenes, and S. amethystogenes. S. corrugatum was a member of the third group. These groups were completely consistent with Nonomura's previous classification, which was based on morphological criteria. The results of partial amino acid sequencing of AT-L30 preparations from several representative strains strongly supported the hypothesis that each of the three groups of the genus Streptosporangium merits separate generic status.;-;-;polyacrylamide;hard_1
2914847;Identification by sequence analysis of two-site posttranslational processing of the cysteine-rich outer membrane protein 2 of Chlamydia trachomatis serovar L2.;The 60,000-molecular-weight cysteine-rich outer membrane protein (OMP2) from Chlamydia trachomatis participates in the disulfide-mediated outer-membrane organization unique to this organism. In addition, this protein is a primary focus of the host immune response. We cloned and sequenced the gene for OMP2 from C. trachomatis serovar L2. A lambda gt11 recombinant that expressed an antigenic portion of this protein was selected by antibody screening and provided a probe for the selection in lambda 1059 of a clone containing the entire gene. DNA sequencing of this clone identified one open reading frame of 1,641 base pairs, starting with a methionine codon and coding for a polypeptide with a molecular weight of 58,792. Amino-terminal protein sequencing and analysis of the translated DNA sequence demonstrated that processing at alternate signal peptide cleavage sites accounts for the molecular-weight polymorphism of this protein. The mature proteins had a net positive charge and contained 24 cysteine residues. ;cysteine;antigen;-;LCR_with_function
2056057;Application of a polymerase chain reaction for the detection of Mycobacterium leprae in skin tissues.;The polymerase chain reaction (PCR) based on the selective amplification of a 530-bp fragment of the gene encoding the proline-rich antigen of Mycobacterium leprae was applied on sections of fixed or frozen biopsy samples from leprosy patients. A simple procedure for the extraction of DNA from M. leprae in clinical specimens that provided suitable template DNA for amplification was developed. When PCR was applied on frozen sections, positive amplification in samples from all untreated acid-fast bacillus (AFB)-positive patients and in samples from 56% of the untreated AFB-negative patients could be detected, while biopsy samples from patients with skin diseases other than leprosy were all PCR negative. With neutral Formalin-fixed biopsy samples, positive amplification in 92% of the samples from untreated AFB-positive patients and in 61% of the samples from untreated AFB-negative patients could be detected by PCR. Biopsy samples exposed to mercuric chloride or nonbuffered formaldehyde containing fixatives were not suitable for application of PCR. This PCR holds promise as a tool for studies on M. leprae infection.;proline;antigen;-;LCR_with_function
2447226;Epitope mapping of monoclonal antibodies to gag protein p19 of avian sarcoma and leukaemia viruses.;We have characterized a set of 15 monoclonal antibodies to p19gag, one of the internal proteins of avian sarcoma and leukaemia viruses. All the antibodies work in immune precipitations as well as in immunoblotting, though with different efficiencies. We have developed a simple epitope mapping technique, which uses partial chemical cleavages at methionine or tryptophan residues followed by immunoblotting from SDS-polyacrylamide gels, to localize the epitopes of nine of these antibodies. The epitopes fall into at least four classes. The mapping procedure should also be useful for other antigens of known primary structure.;-;antigen;polyacrylamide;hard_3
9575251;Scintigraphic detection of infection and inflammation: new developments with special emphasis on receptor interaction.;Various conventional radiopharmaceuticals are currently available for scintigraphic imaging of infection and inflammation. Although a wide variety of infectious and inflammatory foci can be detected with these agents, several disadvantages limit their application. These limitations have stimulated the search for new radiopharmaceuticals. In the past decade a new class of radiopharmaceuticals has emerged: radiolabelled receptor-specific small proteins and peptides. These proteins and peptides are naturally occurring inflammatory mediators which specifically bind to receptors abundantly present in the area of inflammation. In addition, owing to their small size, they rapidly clear from all non-target tissues. This paper provides an overview of these newly developed agents, focussing on imaging characteristics and in vivo uptake mechanisms.;-;-;-;hard_0
33239982;Considerations on the use of MitraClip in the treatment of mitral regurgitation.;Mitral regurgitation (MR) is, by occurrence, the second most common valvular heart disease in the Western world, with a significant impact on prognosis and mortality. A significant number of patients with significant mitral incompetence cannot be submitted to conventional surgery due to high surgical risk. The need for an adequate therapeutical strategy prompted the development of innovative endovascular techniques. Among them, the MitraClip percutaneous system, mimicking the 'edge-to-edge' surgical technique introduced by Alfieri in 2003 has emerged as the treatment of choice in patients not suitable for conventional surgery. Since its introduction, this procedure has been effectively carried out in more than 35 000 patients. The evidences from the first randomized clinical trial, EVEREST II, suggested that the MitraClip system is effective in improving survival and quality of life in patients with severe MR. Further randomized trials, MITRA-FR and COAPT, added some more information, showing that an appropriate patient selection, close attention to the specific anatomical characteristics of the mitral valve, and adequate experience of the centre providing the treatment, are important determinants of the outcome of the procedure.;-;-;-;hard_0
11115612;Stimulatory effect of zinc and growth factor on bone protein component in newborn rats: enhancement with zinc and insulin-like growth factor-I.;"The effect of zinc and growth factor on bone protein component in newborn rats was investigated. The characterization of protein component in the femoral-diaphyseal and metaphyseal tissue of newborn rats (3-35 days old) was examined using sodium dodecyl sulfate-polyacrylamide gel electrophoresis analysis. The diaphyseal and metaphyseal tissues of 7 days-old rats were cultured for 24 or 48 h in a medium containing either vehicle, zinc sulfate (10-4 M) or dipicolinate (10-3 M), a chelator of zinc ion, in the presence or absence of insulin-like growth factor-I (IGF-I; 10-8 M) or transforming growth factor-beta (TFG-beta; 10-10 M) with an effective concentration. Many cellular protein molecules were present in the diaphyseal and metaphyseal tissues; potent bands were seen in protein molecules with about 66 and 46 kDa. Protein molecule of about 66 kDa was greatly released in the medium cultured with the diaphyseal and metaphyseal tissues. This protein in the medium was increased by culture with zinc, IGF-I or TGF-beta. Total protein content in the medium cultured with the diaphyseal and metaphyseal tissues was significantly increased in the presence of zinc, IGF-I or TGF-beta. The IGF-I-increased medium protein content was significantly enhanced by zinc. This enhancing effect was not seen in TGF-beta. Alkaline phosphatase activity and deoxyribonucleic acid (DNA) content in the diaphyseal and metaphyseal tissues was significantly increased by culture with zinc, IGF-I or TGF-beta. The effect of IGF-I was significantly enhanced by zinc, while it was not found in TGF-beta. The effect of IGF-I or TGF-beta in increasing the bone components was seen in the presence of dipicolinate. This study demonstrates that zinc, like IGF-I and TGF-beta, can increase protein components in the femoral-diaphyseal and metaphyseal tissues of new-born rats. Zinc may especially play a role in bone growth in collaboration with IGF-I.";-;phosphatase activity;polyacrylamide;hard_3
